lat,lon,elev_m
33.124000,-117.316000,45.636344910
33.124000,-117.315357,49.398162842
33.124000,-117.314714,49.282974243
33.124000,-117.314071,47.917549133
33.124000,-117.313429,41.177539825
33.124000,-117.312786,38.501804352
33.124000,-117.312143,38.498733521
33.124000,-117.311500,37.956459045
33.124000,-117.310857,37.375743866
33.124000,-117.310214,37.103916168
33.124000,-117.309571,35.858867645
33.124000,-117.308929,35.780452728
33.124000,-117.308286,34.557338715
33.124000,-117.307643,34.629638672
33.124000,-117.307000,34.038024902
33.124500,-117.316000,49.315998077
33.124500,-117.315357,49.375156403
33.124500,-117.314714,48.224090576
33.124500,-117.314071,47.745452881
33.124500,-117.313429,43.496433258
33.124500,-117.312786,41.561378479
33.124500,-117.312143,41.231063843
33.124500,-117.311500,40.420959473
33.124500,-117.310857,39.662399292
33.124500,-117.310214,38.477638245
33.124500,-117.309571,37.880882263
33.124500,-117.308929,37.417079926
33.124500,-117.308286,37.013618469
33.124500,-117.307643,36.636562347
33.124500,-117.307000,35.742279053
33.125000,-117.316000,49.303665161
33.125000,-117.315357,48.835350037
33.125000,-117.314714,46.816688538
33.125000,-117.314071,45.267478943
33.125000,-117.313429,44.412693024
33.125000,-117.312786,44.948837280
33.125000,-117.312143,42.695037842
33.125000,-117.311500,42.212638855
33.125000,-117.310857,41.716117859
33.125000,-117.310214,41.307460785
33.125000,-117.309571,39.924110413
33.125000,-117.308929,38.856376648
33.125000,-117.308286,38.306255341
33.125000,-117.307643,38.391994476
33.125000,-117.307000,37.634456635
33.125500,-117.316000,49.269062042
33.125500,-117.315357,48.155952454
33.125500,-117.314714,48.480236053
33.125500,-117.314071,46.078819275
33.125500,-117.313429,46.716743469
33.125500,-117.312786,46.418056488
33.125500,-117.312143,45.785587311
33.125500,-117.311500,45.238517761
33.125500,-117.310857,45.398014069
33.125500,-117.310214,42.849975586
33.125500,-117.309571,42.429615021
33.125500,-117.308929,41.891502380
33.125500,-117.308286,41.892360687
33.125500,-117.307643,40.674144745
33.125500,-117.307000,39.059577942
33.126000,-117.316000,49.081039429
33.126000,-117.315357,48.640975952
33.126000,-117.314714,48.775650024
33.126000,-117.314071,46.547729492
33.126000,-117.313429,46.512149811
33.126000,-117.312786,47.497390747
33.126000,-117.312143,46.921165466
33.126000,-117.311500,46.909046173
33.126000,-117.310857,46.342506409
33.126000,-117.310214,46.001079559
33.126000,-117.309571,46.031074524
33.126000,-117.308929,44.824260712
33.126000,-117.308286,43.206974030
33.126000,-117.307643,43.009197235
33.126000,-117.307000,42.148597717
33.126500,-117.316000,50.069190979
33.126500,-117.315357,49.248207092
33.126500,-117.314714,49.954368591
33.126500,-117.314071,46.492820740
33.126500,-117.313429,46.858547211
33.126500,-117.312786,46.946632385
33.126500,-117.312143,46.578037262
33.126500,-117.311500,46.895229340
33.126500,-117.310857,47.288085938
33.126500,-117.310214,47.776531219
33.126500,-117.309571,47.481422424
33.126500,-117.308929,47.081138611
33.126500,-117.308286,46.881675720
33.126500,-117.307643,46.021244049
33.126500,-117.307000,47.060745239
33.127000,-117.316000,50.666347504
33.127000,-117.315357,51.203216553
33.127000,-117.314714,48.366584778
33.127000,-117.314071,48.145214081
33.127000,-117.313429,46.386360168
33.127000,-117.312786,49.652210236
33.127000,-117.312143,46.176280975
33.127000,-117.311500,46.236885071
33.127000,-117.310857,49.162971497
33.127000,-117.310214,47.914871216
33.127000,-117.309571,52.125019073
33.127000,-117.308929,47.562168121
33.127000,-117.308286,48.319049835
33.127000,-117.307643,47.701732635
33.127000,-117.307000,51.041286469
33.127500,-117.316000,52.145938873
33.127500,-117.315357,51.915359497
33.127500,-117.314714,47.746383667
